epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.45564,3.55373,3.12542,3.581,0,0,0,0,3.15822,4.99697,2.86805,0,0,0
2,9.27159,3.78372,3.46646,2.86128,0,0,0,0,3.24286,4.85888,2.85778,1.9604e-05,1.9604e-05,1.9604e-05
3,14.4303,4.11975,3.59292,3.01848,0.00701,0.2,0.00504,0.00064,3.26945,4.73146,2.83687,3.8416e-05,3.8416e-05,3.8416e-05
4,20.0792,3.41172,3.10976,2.55748,0.00943,0.26667,0.00628,0.0009,3.30561,4.49545,2.82982,5.6436e-05,5.6436e-05,5.6436e-05
5,28.667,3.21093,3.33664,2.88268,0.00723,0.2,0.00694,0.00218,3.39932,4.24485,2.85438,7.3664e-05,7.3664e-05,7.3664e-05
6,36.3133,3.28735,3.51574,2.80822,0.01784,0.13333,0.01616,0.00608,3.37271,3.91454,2.8714,9.01e-05,9.01e-05,9.01e-05
7,44.6457,2.90129,3.28009,2.47016,0.12134,0.06667,0.04076,0.02383,3.20204,3.22311,2.78369,0.000105744,0.000105744,0.000105744
8,53.1479,3.06855,2.14075,2.00475,0.42691,0.13333,0.12109,0.04491,3.05544,2.98344,2.66548,0.000120596,0.000120596,0.000120596
9,59.5263,2.66898,2.59685,2.28761,0.25647,0.26667,0.18005,0.06422,2.96419,2.71832,2.59372,0.000134656,0.000134656,0.000134656
10,65.3792,3.01921,3.47943,2.56665,0.25839,0.46667,0.24766,0.10797,2.75767,2.39126,2.40388,0.000147924,0.000147924,0.000147924
11,72.2655,2.60339,3.4807,2.07002,0.23561,0.46667,0.29604,0.12613,2.64747,2.26301,2.27071,0.0001604,0.0001604,0.0001604
12,78.1876,2.33899,2.60746,2.00478,0.34013,0.4,0.36092,0.14767,2.54517,2.29416,2.21321,0.000172084,0.000172084,0.000172084
13,84.2387,2.55791,2.24784,1.66977,0.51169,0.2807,0.35894,0.15311,2.43436,2.58291,2.13308,0.000182976,0.000182976,0.000182976
14,90.1607,2.22262,2.09788,1.78621,0.22328,0.73333,0.38335,0.14784,2.28799,3.59086,2.03428,0.000193076,0.000193076,0.000193076
15,95.2353,2.0613,2.16532,1.67236,0.21209,0.8,0.37188,0.14353,2.26007,5.29681,2.02707,0.000202384,0.000202384,0.000202384
16,101.479,2.95613,2.51368,2.10726,0.4155,0.4,0.48841,0.20512,2.21327,5.14582,1.96029,0.0002109,0.0002109,0.0002109
17,107.984,2.02875,2.13234,1.81122,0.37545,0.86667,0.5294,0.23624,2.17398,3.79157,1.90651,0.000218624,0.000218624,0.000218624
18,114.107,2.30505,2.15916,1.90254,0.37545,0.86667,0.5294,0.23624,2.17398,3.79157,1.90651,0.000225556,0.000225556,0.000225556
19,119.595,1.76668,2.09595,1.64176,0.38899,0.72188,0.49229,0.23211,2.13463,2.8204,1.821,0.000231696,0.000231696,0.000231696
