epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.08133,4.01326,4.56125,4.01292,0.00083,0.25,0.00201,0.0006,4.498,6.04917,5.64599,0,0,0
2,8.10415,4.05153,3.81406,3.62718,0,0,0,0,4.43443,5.55964,5.68709,1.9604e-05,1.9604e-05,1.9604e-05
3,11.2979,3.34443,3.88473,3.17446,0.00083,0.25,0.00392,0.00078,4.32192,5.29818,5.70427,3.8416e-05,3.8416e-05,3.8416e-05
4,14.8708,4.61556,4.29668,4.59766,0.00083,0.25,0.01198,0.00159,4.29672,6.41062,5.46567,5.6436e-05,5.6436e-05,5.6436e-05
5,18.3281,3.92561,4.86675,3.86058,0.00083,0.25,0.01198,0.00159,4.29672,6.41062,5.46567,7.3664e-05,7.3664e-05,7.3664e-05
6,23.0534,3.96807,4.83886,3.80905,0.00083,0.25,0.02259,0.00566,4.30358,5.58572,5.10401,9.01e-05,9.01e-05,9.01e-05
7,26.7591,3.9252,3.37621,3.4555,0.00083,0.25,0.02259,0.00566,4.30358,5.58572,5.10401,0.000105744,0.000105744,0.000105744
8,31.4326,3.50946,3.57749,3.28043,0.00167,0.5,0.0418,0.0083,4.19537,5.2074,4.88257,0.000120596,0.000120596,0.000120596
9,35.7273,3.53472,3.78377,3.22888,0.00167,0.5,0.0418,0.0083,4.19537,5.2074,4.88257,0.000134656,0.000134656,0.000134656
10,40.7162,3.79306,3.7497,3.33958,0.00167,0.5,0.04993,0.01084,4.06909,5.04684,4.39493,0.000147924,0.000147924,0.000147924
11,48,3.56553,3.61776,3.20584,0.00167,0.5,0.04993,0.01084,4.06909,5.04684,4.39493,0.0001604,0.0001604,0.0001604
12,55.9629,3.59998,3.77938,3.12538,0.00167,0.5,0.04993,0.01084,4.06909,5.04684,4.39493,0.000172084,0.000172084,0.000172084
13,60.8692,3.7475,4.28736,3.24949,0.00167,0.5,0.06667,0.01814,3.79743,4.53243,3.82575,0.000182976,0.000182976,0.000182976
14,65.9138,3.02966,3.64647,2.70964,0.00167,0.5,0.06667,0.01814,3.79743,4.53243,3.82575,0.000193076,0.000193076,0.000193076
15,70.179,3.28153,4.65588,2.97572,0.00167,0.5,0.06667,0.01814,3.79743,4.53243,3.82575,0.000202384,0.000202384,0.000202384
16,74.5683,4.01465,3.8517,3.12834,0.00167,0.5,0.26267,0.03097,3.68033,4.48117,3.43061,0.0002109,0.0002109,0.0002109
